name,type,district,sub_district,address,phone,email,website,operator,lat,lon,osm_id,source
Family Health Center Kuttiamchal,Family Health Centre (FHC),Ernakulam,,"Kuttiamchal, Kuttampuzha",,,,,10.162613,76.747569,node/9139938672,OpenStreetMap
Family Health Center Maranalloor,Family Health Centre (FHC),Thiruvananthapuram,,,,,,Department of Health Services,8.4676474,77.0748335,node/7130275441,OpenStreetMap
Family Health Center Methala,Family Health Centre (FHC),Thrissur,,"methala, Thrissur, 680669",+91 480 2809590,pmcmethala@gmail.com,,,10.2164762,76.2163184,way/799100071,OpenStreetMap
Family Health Center Mundoor,Family Health Centre (FHC),Palakkad,,,,,,Department of Health Service,10.8386399,76.5807474,node/7480354153,OpenStreetMap
Family Health Center Nellaya,Family Health Centre (FHC),Palakkad,,,,,,Department of Health and Family Welfare,10.8867354,76.2691612,node/8879329917,OpenStreetMap
Family Health Center Nochad,Family Health Centre (FHC),Kozhikode,,,,,,,11.5233804,75.7570551,node/8881627460,OpenStreetMap
Family Health Center Omassery,Family Health Centre (FHC),Kozhikode,,,,,,Depafrtment of Health and Family Welfare,11.3721593,75.9624494,node/9062864592,OpenStreetMap
Family Health Center Ozhalapathy,Family Health Centre (FHC),Palakkad,,,,,,Department of Health and Family Welfare,10.790766,76.8937241,way/975558859,OpenStreetMap
Family Health Center Pattuvam,Family Health Centre (FHC),Kannur,,,,,,,12.0283308,75.3141898,way/788917990,OpenStreetMap
Family Health Center Pookkottukavu,Family Health Centre (FHC),Palakkad,,,,,,Department Of Health and Family Welfare,10.8567734,76.3949693,way/967161564,OpenStreetMap
Family Health Center Puduppadi,Family Health Centre (FHC),Kozhikode,,673586,,,,Department Of Health Services,11.4815104,75.9811713,node/8881574726,OpenStreetMap
Family Health Center Puduppariyaram,Family Health Centre (FHC),Palakkad,,,,,,Department of Health and Family Welfare,10.8030494,76.6235309,way/827565096,OpenStreetMap
Family Health Center Puthucode,Family Health Centre (FHC),Palakkad,,,+91-4922267243,,,,10.6368499,76.4489992,node/8897609657,OpenStreetMap
Family Health Center Ramanattukara,Family Health Centre (FHC),Kozhikode,,,,,,Department Of Health Services,11.1764483,75.8770478,node/8881580907,OpenStreetMap
Family Health Center Sreekrishnapuram,Family Health Centre (FHC),Palakkad,,"Mannarkkad Road, Sreekrishnapuram Post , Palakkad, Kerala, 679513",,,,Government,10.8983153,76.3977354,way/445616859,OpenStreetMap
Family Health Center Thalavady,Family Health Centre (FHC),Alappuzha,,,,,,DEPARTMENT OF HEALTH SERVICES,9.3687081,76.5083226,way/800763817,OpenStreetMap
Family Health Center Vadakara,Family Health Centre (FHC),Kozhikode,,"FHC Vatakara,Thazheangadi,Vatakara,673103, 673103",,,,Department of Health and Family Welfare,11.6008354,75.5778872,way/797943966,OpenStreetMap
Family Health Center Vandazhi,Family Health Centre (FHC),Palakkad,,,+91-4922296795,,,,10.5815236,76.5196983,node/8897686891,OpenStreetMap
Family Health center Vazhakkad,Family Health Centre (FHC),Malappuram,,,,,,,11.2472789,75.9512919,node/8901256417,OpenStreetMap
Family Health Center Vellinezhy,Family Health Centre (FHC),Palakkad,,"Family Health Center Vellinezhy, Kuruvattur, Thirunarayanapuram, 679504",,,,Department of Health and Family Welfare,10.908563,76.3748718,way/975576269,OpenStreetMap
Family Health Center Vettackal,Family Health Centre (FHC),Alappuzha,,,,,,department of health services,9.7295528,76.2986873,way/800755934,OpenStreetMap
Family Health Center Villyapally,Family Health Centre (FHC),Kozhikode,,673542,,,,,11.6276927,75.6457599,node/8865114460,OpenStreetMap
"Family Health Center, Edayur",Family Health Centre (FHC),Malappuram,,,,,,Government,10.9214738,76.0758757,way/973408328,OpenStreetMap
"Family Health Center, Kalliasseri",Family Health Centre (FHC),Kannur,,,,,,,11.9763343,75.3647885,way/954976971,OpenStreetMap
"Family Health Center, Kandalloor",Family Health Centre (FHC),Alappuzha,,velanchira,,,,Department of Health and Family Welfare,9.1898946,76.4707667,way/799111261,OpenStreetMap
"Family Health Center, Keralassery",Family Health Centre (FHC),Palakkad,,,,,,Department of Health and Family Welfare,10.8297608,76.4980484,way/975569900,OpenStreetMap
"Family Health Center, Kottur",Family Health Centre (FHC),Kozhikode,,,,,,Department of Health and Family Welfare,11.49372,75.8121857,node/9060531360,OpenStreetMap
"Family Health Center, Kunnamangalam",Family Health Centre (FHC),Kozhikode,,,,,,,11.305211,75.8895174,node/9898896546,OpenStreetMap
"Family Health Center, Manimala",Family Health Centre (FHC),Kottayam,,"Minor residential road, Karikkattoor, 686544",+91 4828 247 031,phcmanimala@gmail.com,,Department of Health and Family Welfare,9.4834156,76.7644206,way/800705802,OpenStreetMap
"Family Health Center, Manjapra",Family Health Centre (FHC),Ernakulam,,,,,,,10.2117565,76.4511433,way/992431628,OpenStreetMap
"Family Health Center, Meppayyur",Family Health Centre (FHC),Kozhikode,,,,,,,11.5307564,75.7099457,way/805121635,OpenStreetMap
"Family Health Center, Paipra",Family Health Centre (FHC),Ernakulam,,,,,,Department of Health and Family Welfare,10.0334178,76.5509724,way/866674761,OpenStreetMap
"Family Health Center, Palamel(Ulavukkad)",Family Health Centre (FHC),Alappuzha,,,,,,DEPARTMENT OF HEALTH SERVICES,9.1856709,76.6546707,way/800761981,OpenStreetMap
"Family Health Center, Peruvemba",Family Health Centre (FHC),Palakkad,,,,,,Department of Health and Family Welfare,10.7028783,76.6853019,node/8948019533,OpenStreetMap
"Family Health Center, Poothadi",Family Health Centre (FHC),Wayanad,,"Kenichira, Kenichira, 673596",,,,Department of Health and Family Welfare,11.7253588,76.1484157,way/952104319,OpenStreetMap
"Family Health Center, Varadhoor",Family Health Centre (FHC),Wayanad,,,,,,,11.6995842,76.1057776,way/1084062616,OpenStreetMap
"Family Health Center, Vengapally",Family Health Centre (FHC),Wayanad,,"Thekkumthara P O, 673122",,,,Department of Health and Family Welfare,11.6493678,76.0402035,way/858178631,OpenStreetMap
"Family Health Center,Vazhakulam",Family Health Centre (FHC),Ernakulam,,"4C79+CP5, South-Vazhakulam Marampilly road, 683105",,,,Department of Health and Family Welfare,10.1135071,76.41928,way/787451371,OpenStreetMap
Family Health Centre,Family Health Centre (FHC),Kannur,,"Kunhimangalam, Payyanur",,,,,12.0834914,75.2363728,node/9163902726,OpenStreetMap
Family health centre,Family Health Centre (FHC),Ernakulam,,,,,,,10.1033088,76.3900272,node/10970406426,OpenStreetMap
Family Health Centre,Family Health Centre (FHC),Malappuram,,,,,,,10.7816294,75.94895,node/12192895541,OpenStreetMap
family health centre,Family Health Centre (FHC),Kollam,,,,,,,9.079889,76.5267851,way/888581993,OpenStreetMap
Family Health centre  Chittattukara,Family Health Centre (FHC),Ernakulam,,,,,,,10.1886944,76.2125866,node/8897215385,OpenStreetMap
Family Health centre  Edavaka,Family Health Centre (FHC),Wayanad,,"Ellumannam PO, Mananthavady - Kallodi - Makkiyad Road, Pallikkal, 670645",,,,DHS(DEPARTMENT OF HEALTH SERVICES),11.7764224,75.9764867,node/7479173997,OpenStreetMap
"Family Health Centre (FHC) , Thenmala",Family Health Centre (FHC),Kollam,,,,,,Department of Health and Family Welfare,8.9668026,77.06899,way/863329455,OpenStreetMap
FAMILY HEALTH CENTRE (FHC) UMMANNOOR,Family Health Centre (FHC),Kollam,,691520,,,,government,8.9399354,76.8139444,way/947154128,OpenStreetMap
FAMILY HEALTH CENTRE (FHC)PERUMON,Family Health Centre (FHC),Kollam,,0474-2550470,,,,Department of Health Services,8.9546787,76.6152162,way/799269108,OpenStreetMap
"Family Health Centre (PHC) ,SN PuramAyiroorkuzhi",Family Health Centre (FHC),Kollam,,0474-2415092,,,,Department of Health Services,9.0370322,76.6987961,node/7475474522,OpenStreetMap
"Family Health Centre , Thuvvur",Family Health Centre (FHC),Malappuram,,,,,,,11.1173965,76.2843076,way/1015268999,OpenStreetMap
"Family Health Centre ,Poozhanadu",Family Health Centre (FHC),Thiruvananthapuram,,"Family Health Centre ,Poozhanadu, Thiruvananthapuram, 695125",,,,Department of Health and Family Welfare,8.49983,77.1328829,way/979380234,OpenStreetMap
"Family Health Centre 24*7, Panjal",Family Health Centre (FHC),Thrissur,,,,,,,10.7196621,76.3157039,way/998681427,OpenStreetMap
Family Health Centre Adakkaputhur,Family Health Centre (FHC),Palakkad,,"Family Health Centre Adakkaputhur, Adakkaputhur Road, Adakkaputhur",,,,Department of Health and Family Welfare,10.8717067,76.374861,way/609097361,OpenStreetMap
Family Health Centre Alangad,Family Health Centre (FHC),Ernakulam,,,,,,,10.1099055,76.2780318,node/8889466576,OpenStreetMap
Family Health Centre Amachal,Family Health Centre (FHC),Thiruvananthapuram,,,,,,Department of Health Service,8.4972033,77.1106903,way/863056820,OpenStreetMap
Family Health Centre Ambalavayal,Family Health Centre (FHC),Wayanad,,,,,,,11.6202088,76.2094601,way/858054200,OpenStreetMap
Family Health centre Anad,Family Health Centre (FHC),Thiruvananthapuram,,,,,,Department of Health services,8.6395769,77.003322,node/7489381762,OpenStreetMap
Family Health Centre Anakkatty,Family Health Centre (FHC),Palakkad,,Sholayur Grama Panchayat,,,,,11.1307674,76.7253209,node/7541310738,OpenStreetMap
Family Health Centre Anakudi,Family Health Centre (FHC),Thiruvananthapuram,,,,,,,8.7182662,76.9156287,way/867799578,OpenStreetMap
Family Health Centre Anapuzha,Family Health Centre (FHC),Thrissur,,"Fisherman's Colony, Road, Kodungallur, Kerala 680667, Kodungallur, 680667",,,,,10.2061426,76.2104407,way/944240248,OpenStreetMap
Family Health Centre Appapara,Family Health Centre (FHC),Wayanad,,,,,,Department of Health Services,11.9077131,76.032476,way/799306963,OpenStreetMap
Family Health Centre AR Nagar,Family Health Centre (FHC),Malappuram,,,,,,DEPARTMENT OF HEALTH SERVICES,11.0700592,75.9445871,node/7494462668,OpenStreetMap
Family Health Centre Aroor,Family Health Centre (FHC),Alappuzha,,,,,,Department of Health and Family Welfare,9.8696858,76.3046045,way/800766348,OpenStreetMap
Family health centre Bisonvalley,Family Health Centre (FHC),Idukki,,,,,,,10.0056251,77.109881,way/951733106,OpenStreetMap
Family Health Centre Chavara,Family Health Centre (FHC),Kollam,,,,,,Department of Health and Family Welfare,8.9843957,76.55227,way/992688211,OpenStreetMap
Family Health Centre Cheeral,Family Health Centre (FHC),Wayanad,,Cheeral PHC road,,,,,11.610521,76.316114,node/7513040511,OpenStreetMap
Family Health Centre Cheranallore,Family Health Centre (FHC),Ernakulam,,,,,,Department of Health and Family Welfare,10.0600459,76.2892803,way/958794379,OpenStreetMap
Family Health Centre Cherunniyoor,Family Health Centre (FHC),Thiruvananthapuram,,,,,,Department of Health Services,8.7132945,76.7570793,way/800037104,OpenStreetMap
Family Health Centre Cheruthana,Family Health Centre (FHC),Alappuzha,,,,,,Department of Health Services,9.3273912,76.436848,way/800764912,OpenStreetMap
Family Health Centre Chiranickal,Family Health Centre (FHC),Pathanamthitta,,"Chiranickal, Kodumon, 691555",,,,Government,9.1723901,76.7665749,way/983544827,OpenStreetMap
Family Health Centre Chowara,Family Health Centre (FHC),Ernakulam,,,,,,,10.1362873,76.4036224,node/8882455928,OpenStreetMap
Family Health Centre Deshamangalam,Family Health Centre (FHC),Thrissur,,,,,,Department of Health and Family Welfare,10.7469221,76.2334546,node/8998310243,OpenStreetMap
Family Health Centre Edavaka,Family Health Centre (FHC),Wayanad,,,,,,Department of Health and Family Welfare,11.7716399,75.9637953,node/8998387386,OpenStreetMap
FAMILY HEALTH CENTRE EDAVILANGU,Family Health Centre (FHC),Thrissur,,Poclai-Eriyad road,+91 480 2815506,phcedavilangu@rediffmail.com,,government,10.2393132,76.1543687,way/799100072,OpenStreetMap
Family Health Centre Elanad,Family Health Centre (FHC),Thrissur,,"ELANAD, 680586",,,,,10.6269559,76.39403,way/946710632,OpenStreetMap
Family Health Centre Elanji,Family Health Centre (FHC),Ernakulam,,,,,,,9.8298385,76.5418693,way/983261360,OpenStreetMap
Family Health Centre Eroor,Family Health Centre (FHC),Ernakulam,,,,,,,9.9784164,76.3340708,node/8871647989,OpenStreetMap
Family Health Centre Hospital,Family Health Centre (FHC),Palakkad,,,,,,,11.0659482,76.703979,node/11111107441,OpenStreetMap
Family Health Centre Jagathy,Family Health Centre (FHC),Thiruvananthapuram,,,,,,,8.4969374,76.9645242,way/961009646,OpenStreetMap
Family Health Centre Kakkodi,Family Health Centre (FHC),Kozhikode,,,,,,Department of Health Service,11.3187157,75.8005503,way/799032438,OpenStreetMap
Family Health Centre Kalavoor,Family Health Centre (FHC),Alappuzha,,,,,,Department of Health Services,9.570428,76.3207137,way/800754317,OpenStreetMap
Family Health Centre Kamakshy,Family Health Centre (FHC),Idukki,,,,,,Department of Health and Family Welfare,9.8298806,77.0504514,node/8998310235,OpenStreetMap
Family Health centre Karakulam,Family Health Centre (FHC),Thiruvananthapuram,,Vattapara,,,,Department of Health services,8.5891106,76.9493777,way/852612802,OpenStreetMap
Family Health Centre Kattakada,Family Health Centre (FHC),Thiruvananthapuram,,,,,,Department of Health and Family Welfare,8.503223,77.0852456,node/8995195335,OpenStreetMap
Family Health Centre Kavassery,Family Health Centre (FHC),Palakkad,,,,,,Department of Health and Family Welfare,10.6579093,76.4735376,way/967170052,OpenStreetMap
FAMILY HEALTH CENTRE KODAKARA,Family Health Centre (FHC),Thrissur,,"Kodakara Vellikulangara Road, kodakara",,,,government,10.3763357,76.3082795,way/989328210,OpenStreetMap
Family Health Centre Kodiyathur,Family Health Centre (FHC),Kozhikode,,,,,,Department of Health and Family Welfare,11.2815704,75.9869716,way/827275027,OpenStreetMap
Family Health Centre Kollayil,Family Health Centre (FHC),Thiruvananthapuram,,,,,,Department of Health Services,8.3838612,77.1336436,way/761432967,OpenStreetMap
Family Health Centre Kondazhy,Family Health Centre (FHC),Thrissur,,,,,,Department of Health and Family Welfare,10.7267588,76.3958593,node/8998310244,OpenStreetMap
Family Health Centre Konnathadi,Family Health Centre (FHC),Idukki,,,,,,Government,9.9442954,77.0209811,node/7469318429,OpenStreetMap
Family Health Centre Kottapady,Family Health Centre (FHC),Ernakulam,,"kothamangalam, 686692",,,,,10.1167225,76.5875755,way/787357150,OpenStreetMap
Family Health Centre Kottathara,Family Health Centre (FHC),Wayanad,,,,,,Government,11.6663792,76.0111996,way/941428317,OpenStreetMap
Family Health Centre Kumily,Family Health Centre (FHC),Idukki,,,,,,,9.6107941,77.1589766,way/951732006,OpenStreetMap
Family Health Centre Kumplathamon,Family Health Centre (FHC),Pathanamthitta,,,,,,,9.3150408,76.8456274,way/982149319,OpenStreetMap
Family Health Centre Kunnathukal,Family Health Centre (FHC),Thiruvananthapuram,,,,,,Department of Health and Family Welfare,8.3905924,77.1611374,node/8995195329,OpenStreetMap
Family Health Centre Kuzhimanna,Family Health Centre (FHC),Malappuram,,,,,,DHS (Department of Health Services),11.1793998,76.0029568,node/7490264003,OpenStreetMap
Family Health Centre Madappally,Family Health Centre (FHC),Kozhikode,,,,,,Department of Health and Family Welfare,11.6456795,75.5631528,way/982903998,OpenStreetMap
"Family Health Centre Madavoor, Chalamkonam",Family Health Centre (FHC),Thiruvananthapuram,,,,,,eHealth PMU,8.8204701,76.8321301,way/956335591,OpenStreetMap
FAMILY HEALTH CENTRE MANALOOR,Family Health Centre (FHC),Thrissur,,"Vilakkumkal,karamuck, kanjany, 680613",+91-4872626001,,,government,10.47615,76.1024349,way/896488978,OpenStreetMap
Family Health Centre Manickal,Family Health Centre (FHC),Thiruvananthapuram,,,,,,Department of Health Services,8.6435061,76.9026418,node/7489640175,OpenStreetMap
Family Health Centre Maruthumkara,Family Health Centre (FHC),Kozhikode,,,,,,,11.6437392,75.7909035,way/880556333,OpenStreetMap
Family Health centre Mayam,Family Health Centre (FHC),Thiruvananthapuram,,,,,,Department of Health services,8.5234299,77.179764,node/7489377478,OpenStreetMap
Family Health Centre Meppadi,Family Health Centre (FHC),Wayanad,,,,,,Department of Health Services,11.5584994,76.130717,node/7130228002,OpenStreetMap
Family Health Centre Mudakkal,Family Health Centre (FHC),Thiruvananthapuram,,,,,,Department of Health services,8.6871888,76.8657251,node/7481956976,OpenStreetMap
Family Health Centre Mukkola,Family Health Centre (FHC),Thiruvananthapuram,,,,,,"eHealth,TVM",8.3812708,77.0073143,way/957021035,OpenStreetMap
FAMILY HEALTH CENTRE MUNDUR THOLUR,Family Health Centre (FHC),Thrissur,,"Mundoor-Varadiam-Thrissur Road, THRISSUR, 680541",+91-487-2214522,mundurphc@gmail.com,,government,10.5921649,76.1567372,way/942806655,OpenStreetMap
Family Health Centre Nalukettu,Family Health Centre (FHC),Thrissur,,"KORATTY - NALUKETTU ROAD, KORATTY",+91-480-2730136,phcnalukettu@gmail.com,,,10.2798953,76.3889043,way/618324021,OpenStreetMap
Family Health Centre Neelamperoor,Family Health Centre (FHC),Alappuzha,,,,,,Department of Health Services,9.4998043,76.5048271,way/800763303,OpenStreetMap
Family Health centre Nenmanikkara,Family Health Centre (FHC),Thrissur,,"FAMILY HEALTH CENTRE NENMANIKKARA, Chittissery Road, THRISSUR, 680301",,,,GRAMAPANCHAYATH NENMANIKKARA,10.4471641,76.2492948,way/942772304,OpenStreetMap
Family Health Centre Noolpuzha,Family Health Centre (FHC),Wayanad,,,,,,Department of Health and Family Welfare,11.6618891,76.3284577,node/8998387390,OpenStreetMap
